config,target,split,bin,observations,mean_probability,event_rate
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,6,7,0.2623777985572815,0.14285714285714285
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,7,7,0.27805089950561523,0.14285714285714285
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,8,7,0.30509552359580994,0.14285714285714285
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,9,7,0.3534209430217743,0.14285714285714285
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,10,8,0.48512688279151917,0.375
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,1,29,0.08041595225594506,0.5517241379310345
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,2,29,0.2130302747249184,0.2413793103448276
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,3,28,0.27066826905736974,0.21428571428571427
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,4,29,0.3347899946120196,0.3448275862068966
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,5,29,0.3910100121522414,0.2413793103448276
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,6,28,0.44284843314979344,0.25
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,7,29,0.49769985285506835,0.1724137931034483
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,8,28,0.5448215422150865,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,9,29,0.6002628006563699,0.13793103448275862
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,development_cpcv,10,29,0.6993904191976607,0.1724137931034483
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,1,8,0.3741625849021187,0.0
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,2,7,0.44551324859524966,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,3,7,0.5077365739307079,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,4,7,0.5493884126461115,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,5,8,0.5919062704352218,0.125
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,6,7,0.6247191251544575,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,7,7,0.6488931494007072,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,8,7,0.7080628926544682,0.0
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,9,7,0.8031079526396834,0.14285714285714285
target_c_top20_leadership__logistic_regression,target_c_top20_leadership,holdout,10,8,0.8809696349727911,0.375
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,1,29,0.10658841726539793,0.5517241379310345
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,2,29,0.24897762989399952,0.2413793103448276
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,3,28,0.3067061572978472,0.25
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,4,29,0.35861306479806243,0.3793103448275862
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,5,29,0.39689955763453355,0.20689655172413793
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,6,28,0.4396888975517365,0.2857142857142857
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,7,29,0.49224242271682594,0.10344827586206896
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,8,28,0.5270651864290457,0.17857142857142858
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,9,29,0.5737593110736201,0.1724137931034483
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,development_cpcv,10,29,0.6646146214203968,0.10344827586206896
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,1,8,0.39598902553944554,0.0
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,2,7,0.458425676909431,0.14285714285714285
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,3,7,0.5046055130654762,0.14285714285714285
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,4,7,0.5466887069578046,0.14285714285714285
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,5,8,0.5779368087760102,0.125
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,6,7,0.6027397415835124,0.2857142857142857
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,7,7,0.6233848781546427,0.0
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,8,7,0.6694614884249704,0.0
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,9,7,0.7418875065590091,0.14285714285714285
target_c_top20_leadership__elastic_net_logistic,target_c_top20_leadership,holdout,10,8,0.8265985772983592,0.375
target_c_top20_leadership__random_forest,target_c_top20_leadership,development_cpcv,1,29,0.3235654808820905,0.3448275862068966
target_c_top20_leadership__random_forest,target_c_top20_leadership,development_cpcv,2,29,0.361905627104125,0.3103448275862069
target_c_top20_leadership__random_forest,target_c_top20_leadership,development_cpcv,3,28,0.39342210022433743,0.25
