target,model,fold,auc
target_reversal_spread_1w,logistic_C0.25,10,0.4608879492600423
target_reversal_spread_1w,logistic_C0.25,11,0.5005681818181819
target_reversal_spread_1w,logistic_C0.25,12,0.41630434782608694
target_reversal_spread_1w,logistic_C0.25,13,0.5463800904977375
target_reversal_spread_1w,logistic_C0.25,14,0.39836956521739136
target_reversal_spread_1w,logistic_C1,0,0.543694400837258
target_reversal_spread_1w,logistic_C1,1,0.4658119658119658
target_reversal_spread_1w,logistic_C1,2,0.46455424274973145
target_reversal_spread_1w,logistic_C1,3,0.48044397463002114
target_reversal_spread_1w,logistic_C1,4,0.40340909090909094
target_reversal_spread_1w,logistic_C1,5,0.4641548927263213
target_reversal_spread_1w,logistic_C1,6,0.4946977730646872
target_reversal_spread_1w,logistic_C1,7,0.374468085106383
target_reversal_spread_1w,logistic_C1,8,0.5192307692307693
target_reversal_spread_1w,logistic_C1,9,0.3920515574650913
target_reversal_spread_1w,logistic_C1,10,0.48361522198731505
target_reversal_spread_1w,logistic_C1,11,0.5
target_reversal_spread_1w,logistic_C1,12,0.42880434782608695
target_reversal_spread_1w,logistic_C1,13,0.5701357466063348
target_reversal_spread_1w,logistic_C1,14,0.40217391304347827
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,0,0.5834641548927264
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,1,0.453525641025641
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,2,0.4328678839957035
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,3,0.41120507399577166
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,4,0.43920454545454546
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,5,0.46363160648874935
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,6,0.5328738069989396
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,7,0.39680851063829786
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,8,0.5423076923076923
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,9,0.3834586466165414
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,10,0.4540169133192388
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,11,0.5204545454545455
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,12,0.4375
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,13,0.5305429864253394
target_reversal_spread_1w,elastic_net_C0.25_l1_0.5,14,0.42663043478260865
target_reversal_spread_1w,elastic_net_C1_l1_0.5,0,0.5489272632129775
target_reversal_spread_1w,elastic_net_C1_l1_0.5,1,0.4615384615384615
target_reversal_spread_1w,elastic_net_C1_l1_0.5,2,0.45381310418904397
target_reversal_spread_1w,elastic_net_C1_l1_0.5,3,0.4725158562367865
target_reversal_spread_1w,elastic_net_C1_l1_0.5,4,0.41534090909090904
target_reversal_spread_1w,elastic_net_C1_l1_0.5,5,0.45735217163788594
target_reversal_spread_1w,elastic_net_C1_l1_0.5,6,0.5042417815482503
target_reversal_spread_1w,elastic_net_C1_l1_0.5,7,0.3664893617021277
target_reversal_spread_1w,elastic_net_C1_l1_0.5,8,0.5258241758241758
target_reversal_spread_1w,elastic_net_C1_l1_0.5,9,0.38614393125671326
target_reversal_spread_1w,elastic_net_C1_l1_0.5,10,0.46828752642706134
