feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
relative_strength_rank,4w,quintile,cross_sectional,-39.75675956200048,0.5444444444444444,0.0611111111111111,360
relative_strength_rank,4w,decile,cross_sectional,-79.54189689891695,0.5333333333333333,0.015117845117845115,360
percentile_momentum_63d,1w,quintile,cross_sectional,0.004608475624851824,0.559228650137741,0.07327823691460053,363
percentile_momentum_63d,1w,decile,cross_sectional,-0.0009861344008156685,0.5344352617079889,0.032874196510560144,363
percentile_momentum_63d,2w,quintile,cross_sectional,0.00870792958571466,0.5607734806629834,0.06850828729281767,362
percentile_momentum_63d,2w,decile,cross_sectional,0.0029926795845770762,0.5220994475138122,0.015770969362129586,362
percentile_momentum_63d,4w,quintile,cross_sectional,-39.75675956200048,0.5444444444444444,0.0611111111111111,360
percentile_momentum_63d,4w,decile,cross_sectional,-79.54189689891695,0.5333333333333333,0.015117845117845115,360
volatility_adjusted_momentum_63d,1w,quintile,cross_sectional,0.006717532016245768,0.5537190082644629,0.04242424242424243,363
volatility_adjusted_momentum_63d,1w,decile,cross_sectional,0.0009571330385017278,0.5261707988980716,0.014341764754987893,363
volatility_adjusted_momentum_63d,2w,quintile,cross_sectional,0.004768168315269707,0.5497237569060773,0.057458563535911604,362
volatility_adjusted_momentum_63d,2w,decile,cross_sectional,0.00649639859387868,0.5331491712707183,0.032881299179641714,362
volatility_adjusted_momentum_63d,4w,quintile,cross_sectional,39.776966887692225,0.5472222222222223,0.07416666666666666,360
volatility_adjusted_momentum_63d,4w,decile,cross_sectional,79.56470437357545,0.5416666666666666,0.02707070707070707,360
market_breadth,1w,quintile,market_time_series,-0.005317021691988225,0.0,0.19999999999999998,1
market_breadth,1w,decile,market_time_series,-0.00657189784517539,0.0,0.13333333333333333,1
market_breadth,2w,quintile,market_time_series,-0.021318441370155622,0.0,0.19999999999999998,1
market_breadth,2w,decile,market_time_series,-0.013528843235593908,0.0,0.11666666666666665,1
market_breadth,4w,quintile,market_time_series,-33.2787920694153,0.0,-0.09999999999999999,1
market_breadth,4w,decile,market_time_series,-52.044441151622124,0.0,0.049999999999999996,1
cross_sectional_dispersion,1w,quintile,market_time_series,-0.004912299579463908,0.0,-0.49999999999999994,1
cross_sectional_dispersion,1w,decile,market_time_series,-0.0016886910734885095,0.0,-0.17575757575757575,1
cross_sectional_dispersion,2w,quintile,market_time_series,-0.003001768086582802,0.0,-0.39999999999999997,1
cross_sectional_dispersion,2w,decile,market_time_series,0.01379094959554203,1.0,-0.2727272727272727,1
cross_sectional_dispersion,4w,quintile,market_time_series,40.32255245007601,1.0,0.0,1
cross_sectional_dispersion,4w,decile,market_time_series,79.57629324012078,1.0,-0.07878787878787878,1
average_correlation_30d,1w,quintile,market_time_series,-0.031156439531520638,0.0,-0.3,1
average_correlation_30d,1w,decile,market_time_series,-0.005850728120008171,0.0,-0.2121212121212121,1
average_correlation_30d,2w,quintile,market_time_series,-0.03138827225972421,0.0,-0.19999999999999998,1
average_correlation_30d,2w,decile,market_time_series,-0.006987916304459165,0.0,-0.1515151515151515,1
average_correlation_30d,4w,quintile,market_time_series,39.71030558162374,1.0,0.3,1
average_correlation_30d,4w,decile,market_time_series,79.47319386470981,1.0,0.29696969696969694,1
market_drawdown,1w,quintile,market_time_series,0.014201719836934681,1.0,0.39999999999999997,1
market_drawdown,1w,decile,market_time_series,0.009296545902164607,1.0,0.12727272727272726,1
market_drawdown,2w,quintile,market_time_series,0.033293302419526855,1.0,0.09999999999999999,1
market_drawdown,2w,decile,market_time_series,0.028111377165130014,1.0,0.17575757575757575,1
market_drawdown,4w,quintile,market_time_series,0.059649142039075724,1.0,-0.19999999999999998,1
market_drawdown,4w,decile,market_time_series,0.09971340856539511,1.0,-0.13939393939393938,1
volatility_expansion_probability,1w,quintile,market_time_series,-0.015652208956534137,0.0,-0.49999999999999994,1
volatility_expansion_probability,1w,decile,market_time_series,0.004182813394473989,1.0,-0.19999999999999998,1
volatility_expansion_probability,2w,quintile,market_time_series,-0.03227132659157809,0.0,-0.7,1
volatility_expansion_probability,2w,decile,market_time_series,-0.023788226150292305,0.0,-0.4424242424242424,1
volatility_expansion_probability,4w,quintile,market_time_series,-56.13558670583318,0.0,-0.7,1
volatility_expansion_probability,4w,decile,market_time_series,-110.09845047200679,0.0,-0.34545454545454546,1
stablecoin_supply_change_7d,1w,quintile,market_time_series,0.02904647554988331,1.0,0.7,1
stablecoin_supply_change_7d,1w,decile,market_time_series,0.05133710440367579,1.0,0.6363636363636362,1
stablecoin_supply_change_7d,2w,quintile,market_time_series,0.05588065911824683,1.0,0.8999999999999998,1
stablecoin_supply_change_7d,2w,decile,market_time_series,0.061416733320517655,1.0,0.6848484848484848,1
stablecoin_supply_change_7d,4w,quintile,market_time_series,-39.67555288346441,0.0,0.0,1
stablecoin_supply_change_7d,4w,decile,market_time_series,-79.42319470914346,0.0,0.3696969696969697,1
stablecoin_supply_change_30d,1w,quintile,market_time_series,0.03516218963930436,1.0,0.7999999999999999,1
stablecoin_supply_change_30d,1w,decile,market_time_series,0.03740207943988426,1.0,0.43030303030303024,1
stablecoin_supply_change_30d,2w,quintile,market_time_series,0.06831407290628334,1.0,0.7999999999999999,1
stablecoin_supply_change_30d,2w,decile,market_time_series,0.0709166085742758,1.0,0.6363636363636362,1
stablecoin_supply_change_30d,4w,quintile,market_time_series,-39.63453226568883,0.0,-0.09999999999999999,1
stablecoin_supply_change_30d,4w,decile,market_time_series,-79.38515430575542,0.0,0.18787878787878787,1
stablecoin_supply_change_90d,1w,quintile,market_time_series,0.01979804903331379,1.0,0.7,1
stablecoin_supply_change_90d,1w,decile,market_time_series,0.011293579907754927,1.0,0.43030303030303024,1
stablecoin_supply_change_90d,2w,quintile,market_time_series,0.05140972959527647,1.0,0.7,1
stablecoin_supply_change_90d,2w,decile,market_time_series,0.019870414548684392,1.0,0.38181818181818183,1
stablecoin_supply_change_90d,4w,quintile,market_time_series,-39.642529552798045,0.0,-0.3,1
stablecoin_supply_change_90d,4w,decile,market_time_series,-79.501528607949,0.0,-0.01818181818181818,1
stablecoin_supply_z_90,1w,quintile,market_time_series,0.026856400974714697,1.0,0.9999999999999999,1
stablecoin_supply_z_90,1w,decile,market_time_series,0.026358554065654044,1.0,0.7818181818181817,1
