candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
drawdown_10__elastic_net__price_only,drawdown_10,elastic_net,price_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2618966209483019,1448,2020-12-31
drawdown_10__elastic_net__price_only,drawdown_10,elastic_net,price_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2642904442002913,2178,2021-12-31
drawdown_10__elastic_net__price_only,drawdown_10,elastic_net,price_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2496491559408512,2908,2022-12-31
drawdown_10__elastic_net__price_only,drawdown_10,elastic_net,price_only,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2586831414014371,3638,2023-12-31
drawdown_10__elastic_net__price_only,drawdown_10,elastic_net,price_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.24645770742229295,4370,2024-12-31
drawdown_10__logistic__derivatives_only,drawdown_10,logistic,derivatives_only,2021-01-01,development,"{""C"": 0.1}",0.22232808928009778,1448,2020-12-31
drawdown_10__logistic__derivatives_only,drawdown_10,logistic,derivatives_only,2022-01-01,development,"{""C"": 0.1}",0.22878470819594948,2178,2021-12-31
drawdown_10__logistic__derivatives_only,drawdown_10,logistic,derivatives_only,2023-01-01,development,"{""C"": 0.1}",0.2330316867392534,2908,2022-12-31
drawdown_10__logistic__derivatives_only,drawdown_10,logistic,derivatives_only,2024-01-01,development,"{""C"": 0.1}",0.24988604907621684,3638,2023-12-31
drawdown_10__logistic__derivatives_only,drawdown_10,logistic,derivatives_only,2025-01-01,holdout,"{""C"": 0.1}",0.24096356274806027,4370,2024-12-31
drawdown_10__elastic_net__derivatives_only,drawdown_10,elastic_net,derivatives_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.22523613066628764,1448,2020-12-31
drawdown_10__elastic_net__derivatives_only,drawdown_10,elastic_net,derivatives_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.22955222974914435,2178,2021-12-31
drawdown_10__elastic_net__derivatives_only,drawdown_10,elastic_net,derivatives_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2316145799543429,2908,2022-12-31
drawdown_10__elastic_net__derivatives_only,drawdown_10,elastic_net,derivatives_only,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.24866018005967921,3638,2023-12-31
drawdown_10__elastic_net__derivatives_only,drawdown_10,elastic_net,derivatives_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.24002735410032938,4370,2024-12-31
drawdown_10__random_forest__derivatives_only,drawdown_10,random_forest,derivatives_only,2021-01-01,development,"{""max_depth"": 7, ""min_samples_leaf"": 10}",0.238836393478889,1448,2020-12-31
drawdown_10__random_forest__derivatives_only,drawdown_10,random_forest,derivatives_only,2022-01-01,development,"{""max_depth"": 7, ""min_samples_leaf"": 10}",0.2147575339434467,2178,2021-12-31
drawdown_10__random_forest__derivatives_only,drawdown_10,random_forest,derivatives_only,2023-01-01,development,"{""max_depth"": 7, ""min_samples_leaf"": 10}",0.20691991482037486,2908,2022-12-31
drawdown_10__random_forest__derivatives_only,drawdown_10,random_forest,derivatives_only,2024-01-01,development,"{""max_depth"": 7, ""min_samples_leaf"": 10}",0.22583762819414188,3638,2023-12-31
drawdown_10__random_forest__derivatives_only,drawdown_10,random_forest,derivatives_only,2025-01-01,holdout,"{""max_depth"": 7, ""min_samples_leaf"": 10}",0.21557106519804167,4370,2024-12-31
drawdown_10__gradient_boosting__derivatives_only,drawdown_10,gradient_boosting,derivatives_only,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.13081566109383239,1448,2020-12-31
drawdown_10__gradient_boosting__derivatives_only,drawdown_10,gradient_boosting,derivatives_only,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.13935888125867887,2178,2021-12-31
drawdown_10__gradient_boosting__derivatives_only,drawdown_10,gradient_boosting,derivatives_only,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.1550071363308251,2908,2022-12-31
