feature,importance,abs_importance,target,model,model_config
BTC_rv_percentile,0.3254498879862209,0.3254498879862209,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
usd_trend_63d,0.2999153507056373,0.2999153507056373,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
ETH_failed_breakout,0.2997221207035508,0.2997221207035508,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
BTC_drawdown_from_90d_high,0.2391666826224676,0.2391666826224676,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
funding_change,-0.2318888129101584,0.2318888129101584,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
trend_4h_14d_btc_eth_avg,0.2238451409417027,0.2238451409417027,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
stablecoin_supply_z_90,0.2234066374796756,0.2234066374796756,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
ETH_rv_percentile,0.0955413625020704,0.0955413625020704,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
eth_btc_relative_weakness_63d,0.0949713700332305,0.0949713700332305,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
BTC_rv_63d,0.0599160412566359,0.0599160412566359,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
ETH_rv_63d,0.0553702562069182,0.0553702562069182,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
credit_spread_level,0.043994105629173,0.043994105629173,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
volatility_4h_7d_btc_eth_avg,0.0394463651299838,0.0394463651299838,target_b_60d_loss_gt_30,random_forest,target_b_60d_loss_gt_30__random_forest
