fee_scenario,capital_eur,leverage,volume_multiple,duration_months,total_cost_eur,breakeven_airdrop_eur,breakeven_as_multiple_of_capital
typical_pair (Pacifica+StandX),1000.0,3,25,3,208.1,208.1,0.208
typical_pair (Pacifica+StandX),1000.0,3,25,6,402.2,402.2,0.402
typical_pair (Pacifica+StandX),1000.0,3,25,12,790.4,790.4,0.79
typical_pair (Pacifica+StandX),1000.0,3,50,1,113.7,113.7,0.114
typical_pair (Pacifica+StandX),1000.0,3,50,3,313.1,313.1,0.313
typical_pair (Pacifica+StandX),1000.0,3,50,6,612.2,612.2,0.612
typical_pair (Pacifica+StandX),1000.0,3,50,12,1210.4,1210.4,1.21
typical_pair (Pacifica+StandX),1000.0,3,100,1,183.7,183.7,0.184
typical_pair (Pacifica+StandX),1000.0,3,100,3,523.1,523.1,0.523
typical_pair (Pacifica+StandX),1000.0,3,100,6,1032.2,1032.2,1.032
typical_pair (Pacifica+StandX),1000.0,3,100,12,2050.4,2050.4,2.05
typical_pair (Pacifica+StandX),1000.0,3,250,1,393.7,393.7,0.394
typical_pair (Pacifica+StandX),1000.0,3,250,3,1153.1,1153.1,1.153
typical_pair (Pacifica+StandX),1000.0,3,250,6,2292.2,2292.2,2.292
typical_pair (Pacifica+StandX),1000.0,3,250,12,4570.4,4570.4,4.57
typical_pair (Pacifica+StandX),2000.0,1,10,1,75.37,75.37,0.038
typical_pair (Pacifica+StandX),2000.0,1,10,3,194.11,194.11,0.097
typical_pair (Pacifica+StandX),2000.0,1,10,6,372.22,372.22,0.186
typical_pair (Pacifica+StandX),2000.0,1,10,12,728.44,728.44,0.364
typical_pair (Pacifica+StandX),2000.0,1,25,1,117.37,117.37,0.059
typical_pair (Pacifica+StandX),2000.0,1,25,3,320.11,320.11,0.16
typical_pair (Pacifica+StandX),2000.0,1,25,6,624.22,624.22,0.312
typical_pair (Pacifica+StandX),2000.0,1,25,12,1232.44,1232.44,0.616
typical_pair (Pacifica+StandX),2000.0,1,50,1,187.37,187.37,0.094
typical_pair (Pacifica+StandX),2000.0,1,50,3,530.11,530.11,0.265
typical_pair (Pacifica+StandX),2000.0,1,50,6,1044.22,1044.22,0.522
typical_pair (Pacifica+StandX),2000.0,1,50,12,2072.44,2072.44,1.036
typical_pair (Pacifica+StandX),2000.0,1,100,1,327.37,327.37,0.164
typical_pair (Pacifica+StandX),2000.0,1,100,3,950.11,950.11,0.475
typical_pair (Pacifica+StandX),2000.0,1,100,6,1884.22,1884.22,0.942
typical_pair (Pacifica+StandX),2000.0,1,100,12,3752.44,3752.44,1.876
typical_pair (Pacifica+StandX),2000.0,1,250,1,747.37,747.37,0.374
typical_pair (Pacifica+StandX),2000.0,1,250,3,2210.11,2210.11,1.105
typical_pair (Pacifica+StandX),2000.0,1,250,6,4404.22,4404.22,2.202
typical_pair (Pacifica+StandX),2000.0,1,250,12,8792.44,8792.44,4.396
typical_pair (Pacifica+StandX),2000.0,2,10,1,77.38,77.38,0.039
typical_pair (Pacifica+StandX),2000.0,2,10,3,200.14,200.14,0.1
typical_pair (Pacifica+StandX),2000.0,2,10,6,384.28,384.28,0.192
typical_pair (Pacifica+StandX),2000.0,2,10,12,752.56,752.56,0.376
typical_pair (Pacifica+StandX),2000.0,2,25,1,119.38,119.38,0.06
typical_pair (Pacifica+StandX),2000.0,2,25,3,326.14,326.14,0.163
typical_pair (Pacifica+StandX),2000.0,2,25,6,636.28,636.28,0.318
typical_pair (Pacifica+StandX),2000.0,2,25,12,1256.56,1256.56,0.628
typical_pair (Pacifica+StandX),2000.0,2,50,1,189.38,189.38,0.095
typical_pair (Pacifica+StandX),2000.0,2,50,3,536.14,536.14,0.268
typical_pair (Pacifica+StandX),2000.0,2,50,6,1056.28,1056.28,0.528
typical_pair (Pacifica+StandX),2000.0,2,50,12,2096.56,2096.56,1.048
typical_pair (Pacifica+StandX),2000.0,2,100,1,329.38,329.38,0.165
typical_pair (Pacifica+StandX),2000.0,2,100,3,956.14,956.14,0.478
typical_pair (Pacifica+StandX),2000.0,2,100,6,1896.28,1896.28,0.948
typical_pair (Pacifica+StandX),2000.0,2,100,12,3776.56,3776.56,1.888
typical_pair (Pacifica+StandX),2000.0,2,250,1,749.38,749.38,0.375
typical_pair (Pacifica+StandX),2000.0,2,250,3,2216.14,2216.14,1.108
typical_pair (Pacifica+StandX),2000.0,2,250,6,4416.28,4416.28,2.208
typical_pair (Pacifica+StandX),2000.0,2,250,12,8816.56,8816.56,4.408
typical_pair (Pacifica+StandX),2000.0,3,10,1,79.4,79.4,0.04
typical_pair (Pacifica+StandX),2000.0,3,10,3,206.2,206.2,0.103
typical_pair (Pacifica+StandX),2000.0,3,10,6,396.4,396.4,0.198
typical_pair (Pacifica+StandX),2000.0,3,10,12,776.8,776.8,0.388
typical_pair (Pacifica+StandX),2000.0,3,25,1,121.4,121.4,0.061
typical_pair (Pacifica+StandX),2000.0,3,25,3,332.2,332.2,0.166
typical_pair (Pacifica+StandX),2000.0,3,25,6,648.4,648.4,0.324
typical_pair (Pacifica+StandX),2000.0,3,25,12,1280.8,1280.8,0.64
