name,candidate,model,target,feature_set,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
pure_momentum_top3,pure_momentum_top3,baseline,benchmark,N/A,baseline,development,25,0.057287344920430305,0.42539658196512603,0.5761825319448065,0.0654783388956292,0.6724916721261985,-0.8749052875599802,0.5092272202998847,0.05005767012687429,1.0,0.21700000000000003,3.0397923875432524,0.49050941706272,-0.6710562906731101
pure_momentum_top3,pure_momentum_top3,baseline,benchmark,N/A,baseline,holdout,25,-0.3961009220692112,-0.6369504844164636,-0.9532274947352389,-0.5970040715746541,0.5521922523160134,-0.6634811066270586,0.45794392523364486,0.04560747663551402,1.0,0.061000000000000006,3.0373831775700935,0.18827766963359216,-0.23522215931946322
pure_momentum_top5,pure_momentum_top5,baseline,benchmark,N/A,baseline,development,25,0.32917046341090006,0.7982197645219211,1.0866391105130058,0.3429369340514433,1.0034487111903898,-0.9598571361856341,0.5259515570934256,0.07243367935409459,1.0,0.314,5.1164936562860435,0.9626533713463976,-0.7179951076438669
pure_momentum_top5,pure_momentum_top5,baseline,benchmark,N/A,baseline,holdout,25,-0.5747825366484802,-0.6615609601538057,-0.9472543916369454,-0.698706057406162,0.8014336696936143,-0.8226385481503786,0.45794392523364486,0.07177570093457945,1.0,0.096,5.114018691588785,0.2197749032299079,-0.3217487396289409
pure_momentum_top10,pure_momentum_top10,baseline,benchmark,N/A,baseline,development,25,0.518903404626688,0.9232820985716259,1.246043197629137,0.5719555659993283,0.897254730524177,-0.9072442606971631,0.5351787773933102,0.055247981545559405,1.0,0.23950000000000002,10.050173010380623,0.5934844316316941,-0.4864775665678487
pure_momentum_top10,pure_momentum_top10,baseline,benchmark,N/A,baseline,holdout,25,-0.5922385984489558,-0.8260782804159772,-1.2006534270643983,-0.731513518125212,0.7455474854054503,-0.8096071826079135,0.48411214953271026,0.057570093457943936,1.0,0.07700000000000001,10.03177570093458,0.18846450206367682,-0.31696324949783716
btc_buy_hold,btc_buy_hold,benchmark,benchmark,N/A,benchmark,development,25,0.7368482943495129,1.2039865908590912,1.7436580517672091,0.9615757075052781,0.6158804088299804,-0.7662925431645936,0.5115340253748558,0.0,1.0,0.0,1.0,0.46851243433267964,-0.3729069866897433
btc_buy_hold,btc_buy_hold,benchmark,benchmark,N/A,benchmark,holdout,25,-0.23207040401967116,-0.3715714306608157,-0.5234166942074572,-0.4536267763107921,0.44437542042784356,-0.5115888570490235,0.4897196261682243,0.0,1.0,0.0,1.0,0.1407872633813132,-0.17650783621446742
eth_buy_hold,eth_buy_hold,benchmark,benchmark,N/A,benchmark,development,25,0.9457646942652711,1.2302322112701136,1.7845510447932051,1.1926033635557487,0.8031508751649026,-0.7930253453633338,0.5230680507497116,0.0,1.0,0.0,1.0,0.7823388827028048,-0.4484731448581286
eth_buy_hold,eth_buy_hold,benchmark,benchmark,N/A,benchmark,holdout,25,-0.3660708354369645,-0.2693645435257421,-0.4015250324766409,-0.5422053536957352,0.7244175728706324,-0.6751516430846409,0.491588785046729,0.0,1.0,0.0,1.0,0.488004280880477,-0.32214578050827136
